"","V1","V2","V3"
"result.1",4.12756782956817,4.34680114238309,28.6326158967138
"result.2",4.6714400190784,5.26323186237271,NA
"result.3",4.38687946863362,4.38751195236519,32.7994873168408
"result.4",3.64232309893112,3.29495541963498,26.796444892005
"result.5",4.41198320068725,4.40839008246912,33.4450324808106
"result.6",4.33680081447309,3.72228590529473,33.7039380205133
"result.7",3.90934502165844,3.55843374754911,24.3302405713992
"result.8",4.03446419865813,4.32755524531234,27.4110958673045
"result.9",4.37190011327975,4.11026066036793,37.1996316854679
"result.10",4.75802345094335,5.36354307869923,46.8857168760546
"result.11",3.88052606960975,3.91183373718907,NA
"result.12",4.07800813337084,4.10094024906632,28.4891609817719
"result.13",4.48447727009804,4.62263386501994,35.8023308814233
"result.14",4.47698796454707,5.13892899072934,32.3463493580232
"result.15",3.99455457864442,4.16449471468256,30.3687099956144
"result.16",3.98083852937872,3.92995034788068,32.5510169789905
"result.17",4.44915196686947,4.36600289521372,39.5908844478626
"result.18",4.3711545045254,5.14924669609432,34.5825211530317
"result.19",4.78727326855061,4.16837713171406,43.0758117797475
"result.20",3.92947028756524,4.29806186688352,27.3578980156836
"result.21",3.9666625774108,4.14175946919775,29.6694785659432
"result.22",4.79145794528346,4.80733680946824,38.9870044781576
"result.23",4.64774661852905,5.11270370267432,40.9417588466268
"result.24",4.57496841487063,4.31876103715134,32.1119408545945
"result.25",4.31162493383106,4.26916667494656,34.7026970457143
"result.26",4.47375101436547,4.47155964160561,36.1423299846642
"result.27",4.38932126576513,4.03433660747037,38.8958623053111
"result.28",4.22878594021362,4.36208477623593,31.8860577281065
"result.29",4.364783800026,5.23340358178647,32.0357266952878
"result.30",5.12554693695128,3.68824014039215,51.955048231189
"result.31",3.94607366674003,3.61184184892894,25.7198951659745
"result.32",4.24443414408466,4.56267227901943,30.0752075045344
"result.33",NA,3.9266849291299,NA
"result.34",4.57152951751413,4.25268849600913,33.4938800796013
"result.35",5.14517910321419,5.4865505570157,43.9384264867749
"result.36",4.07476327059653,4.0061331062718,26.872456915249
"result.37",4.3059135825251,4.65003701252026,32.4072662454363
"result.38",3.94098401515866,3.05646032034547,27.020914706024
"result.39",4.92006276201215,5.25510902673064,45.4237913663233
"result.40",4.37131974439115,4.20120850301206,33.9732528415756
"result.41",4.28875608427416,3.77536222108942,33.797934524091
"result.42",4.24609878652434,4.53957324759166,32.3644940142808
"result.43",4.01657849509324,4.04113460376589,28.9016593053575
"result.44",4.35376843920747,4.42306277822908,34.5373631043002
"result.45",4.32309782383382,4.88693360765926,35.5853769686928
"result.46",5.04339506825804,4.9916116179168,46.6582204638026
"result.47",4.13500321650022,4.58387224074745,27.0263397355878
"result.48",4.44681206263076,4.60429369458844,32.2624253812355
"result.49",4.44428956413974,3.75635936828136,38.0462685202037
"result.50",3.87324423256552,4.28988872632807,29.2405522952507
"result.51",4.51201800172737,4.98982662942257,38.1565148547733
"result.52",4.28239843802278,4.99126346717365,32.7009236489378
"result.53",4.42479729167494,4.76748167383372,33.0095783045972
"result.54",4.19175325584868,3.75335567988271,33.2512959735336
"result.55",4.29625055069777,4.50352486759745,34.9229790020132
"result.56",4.89972964183237,4.44329908608118,45.1916205951328
"result.57",4.28568267260506,4.81978885339248,34.7658406620729
"result.58",4.29487675616657,4.11546107016224,28.435040142684
"result.59",4.53203042841384,4.95137202741718,34.4770039314325
"result.60",4.20784892779949,4.54040482518346,31.447171169711
"result.61",4.68219817435685,4.76507317381486,40.1251144812098
"result.62",4.33375094913385,5.04734945174637,33.0375291317177
"result.63",4.53230204451218,4.59298673594733,34.7224100933089
"result.64",4.13578636279787,4.29072569308268,31.9462793287371
"result.65",4.28175189269401,4.44939907563949,31.1982156101985
"result.66",4.45052142307186,4.50442737373931,34.7634142249529
"result.67",4.2086871236925,3.47045868452798,29.7358457070553
"result.68",4.312870950604,4.68086021402791,31.5668166943448
"result.69",4.35533932491786,5.06303953039752,39.4031961270606
"result.70",4.20297350791205,4.02328485144631,32.1775942003158
"result.71",4.3389845327246,4.94816785350863,34.6121898603282
"result.72",4.67220903249399,4.16380181921964,35.7238308108459
"result.73",4.20510283502026,4.3392542386838,33.1454984684202
"result.74",4.29148749291445,4.1176243192944,30.2266145296495
"result.75",4.06073276512111,4.05836906633362,28.4458416941686
"result.76",4.39684287922522,4.73005224023879,32.3740652027019
"result.77",4.84229139140647,5.38812176247388,46.4870127298614
"result.78",4.26002836708728,4.66602882804173,32.19102359709
"result.79",4.38197148040023,3.56236117724934,38.9560044993961
"result.80",4.85748662050069,4.52799867919618,41.5263775694694
"result.81",4.63417744616553,5.71801785279885,35.4983018739345
"result.82",4.31883049022089,4.43293235353283,34.7699278794612
"result.83",4.48799480353209,4.04714410999361,35.9663373200149
"result.84",3.8105299993169,3.98542904608315,27.8749537579123
"result.85",NA,3.92247607266654,NA
"result.86",4.54984543343736,4.37191959835221,33.0733961111043
"result.87",4.38290328626468,4.5114526391345,33.295967087734
"result.88",4.42987377234739,4.39320946305146,35.1122970690827
"result.89",3.84294860051465,3.91243848617908,26.1320331885876
"result.90",4.10690269086739,4.18083917162931,30.029435581928
"result.91",4.21296281031758,3.59046487662792,33.6209074405929
"result.92",4.2836397752003,4.75275835643575,35.8104144260669
"result.93",4.21531902177624,3.79847382853911,33.4158425576656
"result.94",4.58141946485633,4.93236804270566,40.9975796993862
"result.95",4.40844274730013,3.89911762627514,33.1266017664997
"result.96",4.32595690447727,4.63329026953817,36.5267501584585
"result.97",3.97586015612969,3.56699236296115,25.3787571463767
"result.98",4.1572165732537,3.84666496477668,31.6990020549258
"result.99",NA,4.45101696571847,NA
"result.100",NA,5.47108365323533,NA
"result.101",NA,3.82651147029766,NA
"result.102",4.06765941034891,3.72282196718068,29.1938425796997
"result.103",4.551970752014,4.04070700599321,36.1805421775678
"result.104",4.6450385976103,4.78077499441509,36.6320683515544
"result.105",4.68818666235844,5.29360119602407,37.2171832150417
"result.106",NA,4.07402775087723,NA
"result.107",4.55847806489785,4.18283446177412,38.258464213551
"result.108",4.26228010501742,3.60666047062499,33.9325930445145
"result.109",4.45461331274804,4.26821204220679,36.3939082593652
"result.110",4.01834009083943,4.15788626349573,31.247118416873
"result.111",4.48866089959598,4.73102339149889,38.4692655646135
"result.112",4.45933265765711,4.4021088224122,35.0037023255683
"result.113",4.18980130968109,3.73383090069133,32.6949863194264
"result.114",4.61542118912377,4.68410244521911,36.0630404184303
"result.115",4.35928212913546,4.80162643844327,35.0905791638537
"result.116",4.04039341087571,3.5738375902765,30.186115379485
"result.117",4.18061685845272,4.08064227822827,NA
"result.118",3.94629815681561,4.17451103310712,27.876961450645
"result.119",4.14214022518253,4.09092578437111,26.2771013861146
"result.120",4.32451572322188,4.66806846052249,32.3769707739743
"result.121",4.494727583786,3.73112581185682,38.6208977352632
"result.122",NA,4.33289778831591,NA
"result.123",4.20322372686633,4.01082896491504,30.8415997158938
"result.124",NA,4.1129995322814,NA
"result.125",4.63550311573814,5.04725674516434,41.2377470065605
"result.126",4.87026551883249,5.08794823127639,43.3440741658928
"result.127",4.45656399804781,5.13654007603973,28.7903951421427
"result.128",4.17202129016285,4.74301426389321,32.2836401864829
"result.129",3.78022885780798,3.8337864437542,23.4103582237347
"result.130",4.27100423164078,4.47577337266858,29.609396873291
"result.131",4.2882320996468,4.08556173996783,32.9238129987925
"result.132",4.49798167854185,4.14278031360403,36.5375124000383
"result.133",4.2169032481277,4.50828404633111,32.5643959303725
"result.134",NA,4.14097530372693,NA
"result.135",4.14469837724543,3.43916499863806,29.6771144416429
"result.136",4.30522663946593,4.0236463809855,35.177942916565
"result.137",4.58025915221158,4.04629599029308,37.0894032618157
"result.138",4.22248263015519,4.2440067151114,27.7561863194841
"result.139",4.54934530283302,5.37282660246195,35.6908775187734
"result.140",4.55606413882156,3.93828756093765,36.5243830348092
"result.141",4.40258197974086,3.81201877096848,33.223294011963
"result.142",4.22118115865874,3.87627007610188,32.8904410544008
"result.143",4.29142531595079,4.66694112719684,36.1231591884005
"result.144",4.48123855660928,4.46461738545021,31.2208672855746
"result.145",3.97228264581706,3.63476974364311,25.821593708307
"result.146",4.64175074468424,4.70621820215647,41.3069653169386
"result.147",NA,4.02461700639002,NA
"result.148",NA,4.04201725304512,NA
"result.149",4.70662668248743,4.48190566753156,35.0925730774153
"result.150",NA,4.34382944295417,NA
"result.151",4.17194053047186,4.32810699081361,28.2845173842004
"result.152",3.94286733850333,4.11278434738131,27.3310332581335
"result.153",4.53657800154301,3.9388475353062,36.7811799679665
"result.154",4.29704549513011,5.29532398917338,33.5324755236791
"result.155",4.40538733159332,4.40450562948268,42.2705454371747
"result.156",4.38932510062383,4.59539758366718,31.8069320317487
"result.157",3.9914459732466,4.4814769141389,29.5907670456
"result.158",4.58585737023311,5.17318651870395,40.3945263941545
"result.159",3.75894139636373,4.05713521845764,27.5510838062186
"result.160",3.95149291395476,3.80974015297986,30.4234910586627
